gene_name,microbiome_pvalue,tissue_pvalue,microbiome_logFC,tissue_logFC
FAM111A,0.00034,9.24E-14,-0.9245337,-1.9487238
DDX17,0.0199,1.05E-11,-1.024313,-1.3639446
WDR19,0.00577,1.92E-11,0.7864773,-1.6357048
DUT,0.000504,4.09E-11,-0.9050316,-1.4939541
GLT8D2,5.61E-07,4.20E-11,3.5118528,-3.4444686
LUM,1.02E-05,6.52E-11,3.2696057,-3.3916309
NDUFB8,0.0427,7.22E-11,-0.5640958,-1.4113561
CAMK2N2,1.21E-06,8.79E-11,3.4153373,1.3494595
EGR2,8.85E-06,9.94E-11,2.2054282,-3.2356827
CCDC14,0.000987,1.11E-10,-1.0919196,-2.2986725
EFHC1,0.000129,1.42E-10,-1.1766261,-2.2409971
TARDBP,0.00834,1.79E-10,-0.5802293,-1.405658
COL3A1,3.68E-05,1.85E-10,2.6304084,-4.4936971
NR4A1,0.0287,1.87E-10,0.8360393,0.8310746
GOPC,0.00553,1.94E-10,-1.4861057,-1.4092152
VIM,2.26E-11,2.35E-10,4.6316154,-2.9063111
MIR24-2///MIR23A///LOC284454,6.35E-05,2.76E-10,-1.437329,-2.627478
CRIP1,1.02E-05,2.78E-10,-1.5421951,-4.323558
LOC100506123///LOC100506076,0.00204,2.85E-10,-1.6334711,-1.9550246
SYTL2,2.32E-07,3.33E-10,-2.4398609,-3.1780438
CYR61,4.25E-08,3.43E-10,4.2351735,-3.5708888
PPHLN1,0.0251,3.50E-10,-0.6319408,-1.0978463
NXF1,0.00159,3.62E-10,0.740341,-1.178697
USP48,0.00245,3.75E-10,-0.7823898,-1.4066898
ASPN,4.01E-07,3.87E-10,4.789323,-3.8863545
BCL2L13,0.0249,3.95E-10,0.4850423,0.684477
CTGF,3.95E-06,4.25E-10,2.8333614,-3.7809045
DRD5,0.0327,4.41E-10,0.9559674,1.0344495
FGA,6.17E-05,4.43E-10,3.3712611,0.7941111
FOS,0.0248,4.53E-10,0.9125163,-3.5152686
AHSA2,0.00059,4.53E-10,-1.3191275,-2.0158427
FGF4,0.00441,4.75E-10,1.4547105,0.8112286
NEMP1,0.0193,4.91E-10,-0.6667988,-1.7204579
LOC441155///ZC3H11A,0.00118,4.96E-10,-1.0909238,-1.0824573
NAB1,9.29E-06,5.49E-10,-1.3653123,-1.9960673
TUG1,6.73E-05,5.62E-10,-1.7656917,-1.3595675
TIA1,4.38E-05,5.68E-10,-1.0309888,-2.038793
LOC101930112///SPG7,0.000722,5.84E-10,-1.0208857,-1.1017989
TIA1,4.38E-05,6.07E-10,-1.0309888,-1.3179755
ABCC5,0.00248,6.32E-10,-1.0545146,-1.8272111
RBM6,0.0133,6.82E-10,-0.9857547,-1.5494605
ARPIN,0.000316,6.85E-10,1.1226135,1.3145289
MTX3,0.00661,7.09E-10,0.680459,0.5843827
ALG13,2.92E-06,7.45E-10,-1.4905608,-2.7998684
EMP1,2.35E-05,7.75E-10,2.2759077,-3.3773405
NT5M,0.0087,7.90E-10,1.8204109,0.7800312
TMEM120B,0.0203,8.43E-10,0.7663777,0.8515362
NREP,0.0024,8.48E-10,-1.3630054,-3.4560536
RRS1,0.00351,8.63E-10,0.930809,1.2819389
EFHC1,0.000129,8.91E-10,-1.1766261,-1.8299502
LINC00475,0.00628,9.68E-10,-1.1184371,0.9271432
LOC101928269///LOC100506403///RUNX1,0.000106,1.06E-09,-2.2364995,-2.6380432
SOS1,0.000908,1.06E-09,-1.5936225,-1.3982507
DIP2A,0.00837,1.12E-09,-0.8257143,-1.4952888
POGZ,0.00301,1.20E-09,-0.9259221,-1.2419123
EIF4G3,3.51E-05,1.21E-09,-1.2305678,-1.4047282
ERICH1,9.78E-05,1.28E-09,-1.4002922,-1.5705968
FHL2,5.79E-05,1.28E-09,-1.6947726,-3.100067
SLC1A4,0.00877,1.39E-09,0.9477443,0.9793498
LOC729296,0.0383,1.39E-09,1.5136814,0.8826532
DCN,6.92E-10,1.45E-09,4.1279268,-2.1670404
XAF1,0.0289,1.46E-09,-1.0508751,-3.8262459
TTC14,0.00162,1.51E-09,-0.769813,-2.5269754
TCF4,1.17E-10,1.52E-09,2.4292489,-2.2939507
CDK12,0.000935,1.53E-09,-0.9627655,-1.237518
NPHP3,0.0194,1.59E-09,0.6181203,-1.9965863
CSNK2A2,1.62E-05,1.66E-09,1.4801648,1.1572384
TCF4,1.17E-10,1.71E-09,2.4292489,-2.5126495
SSPN,0.00093,1.71E-09,2.0860412,-2.0279771
RS1,0.00587,1.76E-09,-1.3105112,0.7951673
HERC2,0.00407,1.76E-09,-0.5963252,-0.9624982
NR2C1,0.0064,1.77E-09,-0.6797059,-1.6564568
XRN1,0.00703,1.89E-09,-1.3231056,-1.75584
GSAP,3.16E-05,1.92E-09,-1.3980586,-2.4459163
RBM25,2.53E-05,1.92E-09,-1.4416409,-1.9809262
GABBR1,1.74E-06,1.96E-09,1.5473921,-1.2923857
FAM219B,0.00555,2.07E-09,-0.8239442,-0.7680621
INPP4A,0.00187,2.09E-09,1.4842859,-1.8969148
BOD1L1,0.000154,2.10E-09,-1.241557,-1.7918123
SYTL2,2.32E-07,2.32E-09,-2.4398609,-3.5061923
LRCH3,7.02E-05,2.33E-09,-1.6644643,-0.714755
TEP1,3.32E-05,2.52E-09,-1.1960638,-2.0525098
MIR5193///UBA7,0.0188,2.54E-09,-0.7921307,-0.9922709
KLHL3,0.0254,2.59E-09,-1.4379374,-1.2313957
UST,0.018,2.64E-09,1.4081424,1.2280127
GSAP,3.16E-05,2.68E-09,-1.3980586,-2.001918
PLXNC1,0.000111,2.71E-09,2.4631726,-2.9741143
COL1A1,6.70E-05,2.77E-09,2.2428753,-5.199103
SLX1B-SULT1A4///SLX1A-SULT1A3///SULT1A4///SULT1A3,0.000414,2.79E-09,-1.1962065,-1.2544532
4-Sep,2.37E-06,2.81E-09,3.792351,0.6794936
VRK1,0.00692,2.83E-09,-0.7745267,-1.7653284
CACNA2D1,0.0123,2.85E-09,1.4706068,-2.4485796
ZFYVE16,0.00256,2.86E-09,-0.9027818,-2.0672254
CAV2,0.00725,2.88E-09,1.3563245,0.6748779
EEF1D,4.64E-07,2.89E-09,2.0630637,1.0259202
REV1,0.000672,2.96E-09,-0.996021,-1.4304245
SRRT,0.0159,2.99E-09,-0.5323101,-1.1146139
MDM1,0.0104,3.05E-09,0.9705304,-1.5314059
COL5A2,0.00228,3.12E-09,1.8530854,-4.6793121
SUGP2,7.68E-06,3.19E-09,-1.3108209,-1.5543266
MIR5193///UBA7,0.0188,3.21E-09,-0.7921307,-1.121712
CEP170P1///CEP170,0.0104,3.24E-09,1.0830126,-2.4335139
ZFPM2,2.41E-05,3.35E-09,3.6641959,-2.7013005
CCNL2,2.45E-06,3.37E-09,-1.5985077,-1.4765248
GLT8D2,5.61E-07,3.39E-09,3.5118528,-2.1245782
SFRP2,1.99E-05,3.43E-09,4.44896,-3.2896891
BGN,7.32E-08,3.47E-09,2.4801914,-3.3294761
DYNC2LI1,0.00649,3.48E-09,-0.7706892,-1.4470161
SKIL,0.00172,3.49E-09,-1.2537251,-2.7812963
ALDOB,0.0163,3.55E-09,-1.815935,0.5542612
TLN1,0.00272,3.63E-09,1.9291583,0.6903446
SRRT,0.0159,3.64E-09,-0.5323101,-1.4144475
ZBTB37,0.00252,3.65E-09,-1.4568705,-1.35658
COL1A2,0.000172,3.71E-09,2.3033394,-3.8649573
CHD2,0.000136,3.72E-09,-1.5739302,-2.3948693
LOC283674,0.0105,3.88E-09,1.6835935,0.8151621
AHNAK,0.00684,3.94E-09,-0.9956257,-2.026938
TTC39A,0.000467,3.96E-09,-1.0510974,0.707798
TCF4,1.17E-10,4.02E-09,2.4292489,-2.5353688
VASH2,0.00884,4.03E-09,1.0445479,0.9402305
HM13,0.00245,4.07E-09,1.0862713,0.7975677
COL1A1,6.70E-05,4.11E-09,2.2428753,-5.8551877
FBN1,2.79E-06,4.13E-09,2.7297762,-3.379587
CPEB2,0.0327,4.15E-09,-0.5017224,-1.5555155
DCN,6.92E-10,4.16E-09,4.1279268,-2.3037148
RBMS1,0.042,4.27E-09,1.1486089,-2.3198914
UBE2J1,0.00474,4.33E-09,0.8939483,1.1914612
CTSK,0.000114,4.37E-09,1.7011941,-3.6342257
SLIT1,0.000531,4.43E-09,1.0114213,1.0082123
DAZ4///DAZ2///DAZ3///DAZ1,0.00722,4.46E-09,2.7004132,1.1667443
RAB28,0.0125,4.50E-09,-1.1394107,-1.7320118
TCF4,1.17E-10,4.52E-09,2.4292489,-2.4632866
OPRL1,0.0368,4.56E-09,0.6046962,0.6664791
PLXDC2,0.000877,4.66E-09,2.3532412,-2.9159102
CCDC82,0.021,4.80E-09,1.3209128,0.8100429
RPL14,0.00231,4.93E-09,0.9288268,1.1062759
KLF12,0.000186,4.95E-09,2.5471495,-1.9626525
COL5A1,3.16E-05,4.97E-09,2.7913826,-4.5385884
JADE1,0.0227,4.99E-09,1.0227921,1.2049812
LNPEP,6.51E-06,5.09E-09,-1.6613067,-1.7455521
PNISR,0.00293,5.15E-09,-1.0243045,-2.0172991
NOA1,2.13E-05,5.23E-09,1.2862266,1.1292957
MAPT-AS1,4.16E-05,5.26E-09,2.9615468,1.3550552
COL3A1,3.68E-05,5.28E-09,2.6304084,-4.8369
RFX5,0.000894,5.31E-09,-1.2093103,-1.6714461
SHISA9,0.00169,5.36E-09,2.4147278,0.7568082
TGFBR1,4.51E-06,5.40E-09,-2.7372815,-2.9257848
TPSAB1,4.32E-09,5.42E-09,4.0637888,1.0142536
UGP2,9.94E-05,5.46E-09,-1.200449,-1.4347077
BBS2,0.049,5.47E-09,-0.4463213,-1.5043618
DCN,6.92E-10,5.53E-09,4.1279268,-2.1197107
KRT75,0.0389,5.71E-09,1.1342579,0.6884762
RORC,0.0127,5.85E-09,1.6272897,1.2487164
ELOVL2,0.0055,5.88E-09,2.5847393,0.8885402
CCKAR,0.000644,5.92E-09,2.0262642,0.9397002
COL3A1,3.68E-05,5.93E-09,2.6304084,-3.840505
SUPT20H,3.04E-05,5.96E-09,-1.3170088,-1.7244414
CAMK2B,0.000209,6.06E-09,1.9193655,1.2420129
LRIG2,0.000353,6.09E-09,2.5027351,0.8406496
SMCR8,0.0141,6.09E-09,-0.5690713,0.9133084
LINC00342,0.00069,6.10E-09,-2.6865968,-2.3041845
COL3A1,3.68E-05,6.12E-09,2.6304084,-4.5475064
CLK4,0.000296,6.14E-09,2.6641893,-1.6480171
SNRNP70,0.0314,6.48E-09,1.5118108,-1.3862709
MAP3K9,0.00076,6.52E-09,1.5105928,0.8910189
ANTXR1,0.0021,6.52E-09,1.768461,-3.8526373
CCNL2,2.45E-06,6.56E-09,-1.5985077,-2.0840445
SUFU,0.0469,6.67E-09,1.0163705,1.0692548
TACSTD2,0.00293,6.83E-09,-1.1816126,0.7222841
KHSRP,0.0276,6.84E-09,1.0904398,0.6722752
DCN,6.92E-10,6.89E-09,4.1279268,-1.9579304
OSER1-AS1,0.000985,6.93E-09,1.817828,0.8292127
LOC101930591///FAM21A///FAM21C,7.59E-05,7.02E-09,-0.9147029,-1.056183
TRIP12,0.0428,7.06E-09,-0.4713023,-1.5608734
ARGLU1,5.52E-06,7.13E-09,-1.3224526,-2.2846955
ADD1,0.000296,7.16E-09,1.087308,-1.045367
MYLK3,0.000865,7.16E-09,1.1787892,0.7946382
OGT,0.000297,7.18E-09,-0.9828339,-1.886815
POLR1E,7.83E-05,7.36E-09,1.411498,0.9828655
CCDC80,1.81E-07,7.40E-09,5.0831382,-3.6640298
COL1A2,0.000172,7.43E-09,2.3033394,-5.3686193
HEYL,1.16E-13,7.53E-09,3.8660519,0.9158643
CYR61,4.25E-08,7.61E-09,4.2351735,-3.3819279
SLTM,0.00119,7.63E-09,-0.7382598,-1.6071277
SMOX,0.0481,7.69E-09,1.2983386,0.9321648
CDK15,0.00037,7.86E-09,1.8884764,0.9891116
PDLIM5,3.36E-05,7.90E-09,-1.5090104,-2.2056109
GAS1,1.88E-09,7.97E-09,5.134903,0.8139771
ANTXR1,0.0021,8.10E-09,1.768461,0.7772257
CBLB,0.000116,8.17E-09,-1.2821904,-1.4028548
TM7SF2,2.72E-05,8.37E-09,2.7880128,1.679295
RNF213,8.78E-09,8.54E-09,-2.3847503,-1.9774886
LOC101928222,0.0183,8.58E-09,0.9245074,0.6080896
SKIL,0.00172,8.60E-09,-1.2537251,-2.0154934
COL5A2,0.00228,8.65E-09,1.8530854,-4.8402629
REV1,0.000672,8.65E-09,-0.996021,-1.6806196
DKK3,0.0012,8.72E-09,1.9549126,-2.8440939
USP33,0.00158,8.76E-09,-0.884423,-1.341498
ASXL2,0.00093,8.77E-09,-1.0309607,-1.0505227
WIPF1,0.00812,8.88E-09,1.2795229,-2.8768577
CSGALNACT2,0.000816,8.94E-09,0.9518905,-2.3116582
KLC1,0.00143,8.95E-09,1.0434945,-1.4570286
JMJD1C,0.00491,8.97E-09,1.5672882,-2.586398
KDM2A,0.0111,8.98E-09,-0.7267648,-2.0006611
EEF1D,4.64E-07,9.02E-09,2.0630637,1.360415
ATAD2B,4.62E-05,9.07E-09,-1.4838952,-1.7782998
DOCK6,0.00133,9.07E-09,-1.0642274,0.8091962
NPAP1,0.0353,9.13E-09,1.5951964,0.7643712
SAP30L,0.00534,9.24E-09,0.7443573,1.3053273
ZRANB2,0.007,9.27E-09,-0.5988938,-1.6962305
ALKBH7,6.41E-05,9.28E-09,1.95832,0.8002816
CDC23,0.00534,9.39E-09,-0.8031269,-1.4352841
MNT,0.049,9.56E-09,-0.4316314,-1.0502005
FOXP1,9.40E-07,9.57E-09,-1.6950438,-1.5938464
MIR100HG,6.76E-08,9.57E-09,4.3457633,-2.4629682
BRPF3,0.00255,9.81E-09,1.4973599,1.0470962
MAN2C1,0.000398,9.88E-09,1.8681898,-1.4492625
GNPTAB,0.000302,9.89E-09,-1.0528883,0.8744759
CTNNB1,6.83E-05,9.91E-09,-1.9660858,-2.3145611
