gene_name,gene_function,,,,,,,,,,,,,,,,,,,,,,
FAM111A,family with sequence similarity 111 member A,,,,,,,,,,,,,,,,,,,,,,
DDX17,DEAD-box helicase 17,,,,,,,,,,,,,,,,,,,,,,
FAM199X,family with sequence similarity 199, X-linked,,,,,,,,,,,,,,,,,,,,,
WDR19,WD repeat domain 19,,,,,,,,,,,,,,,,,,,,,,
PCED1A,PC-esterase domain containing 1A,,,,,,,,,,,,,,,,,,,,,,
DUT,deoxyuridine triphosphatase,,,,,,,,,,,,,,,,,,,,,,
GLT8D2,glycosyltransferase 8 domain containing 2,,,,,,,,,,,,,,,,,,,,,,
FAM135B,family with sequence similarity 135 member B,,,,,,,,,,,,,,,,,,,,,,
LUM,lumican,,,,,,,,,,,,,,,,,,,,,,
NDUFB8,NADH:ubiquinone oxidoreductase subunit B8,,,,,,,,,,,,,,,,,,,,,,
ZSWIM8,zinc finger SWIM-type containing 8,,,,,,,,,,,,,,,,,,,,,,
CAMK2N2,calcium/calmodulin dependent protein kinase II inhibitor 2,,,,,,,,,,,,,,,,,,,,,,
EGR2,early growth response 2,,,,,,,,,,,,,,,,,,,,,,
CCDC14,coiled-coil domain containing 14,,,,,,,,,,,,,,,,,,,,,,
LOC101930591///FAM21C,uncharacterized LOC101930591///family with sequence similarity 21 member C,,,,,,,,,,,,,,,,,,,,,,
EFHC1,EF-hand domain containing 1,,,,,,,,,,,,,,,,,,,,,,
TARDBP,TAR DNA binding protein,,,,,,,,,,,,,,,,,,,,,,
COL3A1,collagen type III alpha 1 chain,,,,,,,,,,,,,,,,,,,,,,
NR4A1,nuclear receptor subfamily 4 group A member 1,,,,,,,,,,,,,,,,,,,,,,
GOPC,golgi associated PDZ and coiled-coil motif containing,,,,,,,,,,,,,,,,,,,,,,
VIM,vimentin,,,,,,,,,,,,,,,,,,,,,,
LOC100131532,uncharacterized LOC100131532,,,,,,,,,,,,,,,,,,,,,,
RGL2,ral guanine nucleotide dissociation stimulator like 2,,,,,,,,,,,,,,,,,,,,,,
MIR24-2///MIR23A///LOC284454,microRNA 24-2///microRNA 23a///uncharacterized LOC284454,,,,,,,,,,,,,,,,,,,,,,
CRIP1,cysteine rich protein 1,,,,,,,,,,,,,,,,,,,,,,
LOC100506123///LOC100506076,uncharacterized LOC100506123///uncharacterized LOC100506076,,,,,,,,,,,,,,,,,,,,,,
SYTL2,synaptotagmin like 2,,,,,,,,,,,,,,,,,,,,,,
