gene_name,gene_functionANP32A,acidic nuclear phosphoprotein 32 family member A
POLDIP3,DNA polymerase delta interacting protein 3
REPIN1,replication initiator 1
CAPZA2,capping actin protein of muscle Z-line alpha subunit 2
NDRG2,NDRG family member 2
GATA4,GATA binding protein 4
DISP2,dispatched RND transporter family member 2
HNRNPL,heterogeneous nuclear ribonucleoprotein L
RAP2A,RAP2A, member of RAS oncogene family
PSPC1,paraspeckle component 1
MAVS,mitochondrial antiviral signaling protein
YWHAE,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
CLINT1,clathrin interactor 1
ACE,angiotensin I converting enzyme
MFN2,mitofusin 2
MYH11,myosin heavy chain 11
NUMA1,nuclear mitotic apparatus protein 1
F11,coagulation factor XI
VEGFA,vascular endothelial growth factor A
PPP3CA,protein phosphatase 3 catalytic subunit alpha
ARID1A,AT-rich interaction domain 1A
NGEF,neuronal guanine nucleotide exchange factor
TNRC6B,trinucleotide repeat containing 6B
FAF1,Fas associated factor 1
OSBPL1A,oxysterol binding protein like 1A
PVR,poliovirus receptor
ACAT1,acetyl-CoA acetyltransferase 1
SLC14A1,solute carrier family 14 member 1 (Kidd blood group)
EPS8L2,EPS8 like 2
CLTA,clathrin light chain A
PRKD3,protein kinase D3
FAM193B,family with sequence similarity 193 member B
TOX4,TOX high mobility group box family member 4
TCF7L2,transcription factor 7 like 2
TRAK1,trafficking kinesin protein 1
SOX6,SRY-box 6
RAPGEF2,Rap guanine nucleotide exchange factor 2
PROC,protein C, inactivator of coagulation factors Va and VIIIa
SAE1,SUMO1 activating enzyme subunit 1
ZCCHC6,zinc finger CCHC-type containing 6
MOGAT2,monoacylglycerol O-acyltransferase 2
IRF5,interferon regulatory factor 5
SNRNP40,small nuclear ribonucleoprotein U5 subunit 40
WAC,WW domain containing adaptor with coiled-coil
RGS5,regulator of G-protein signaling 5
RGS5,regulator of G-protein signaling 5
GSN,gelsolin
PML,promyelocytic leukemia
USP32,ubiquitin specific peptidase 32
ARHGAP27,Rho GTPase activating protein 27
ARHGAP27,Rho GTPase activating protein 27
ARHGAP27,Rho GTPase activating protein 27
TRA2A,transformer 2 alpha homolog
MAU2,MAU2 sister chromatid cohesion factor
FUT6,fucosyltransferase 6
RRN3P1,RRN3 homolog, RNA polymerase I transcription factor pseudogene 1
NR2F6,nuclear receptor subfamily 2 group F member 6
NF2,neurofibromin 2
GTF3C2,general transcription factor IIIC subunit 2
USH1C,USH1 protein network component harmonin
RAC2,ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)
GTF2H3,general transcription factor IIH subunit 3
SRRT,serrate, RNA effector molecule
CYP26B1,cytochrome P450 family 26 subfamily B member 1
ERBB3,erb-b2 receptor tyrosine kinase 3
VEGFA,vascular endothelial growth factor A
TPP1,tripeptidyl peptidase 1
AKAP13,A-kinase anchoring protein 13
MKLN1,muskelin 1
USP2,ubiquitin specific peptidase 2
VAV2,vav guanine nucleotide exchange factor 2
PKIB,protein kinase (cAMP-dependent, catalytic) inhibitor beta
MON1B,MON1 homolog B, secretory trafficking associated
TOMM22,translocase of outer mitochondrial membrane 22
PPP1R36,protein phosphatase 1 regulatory subunit 36
DHX33,DEAH-box helicase 33
