ID,adj.P.Val,P.Value,t,B,logFC,SPOT_ID,Start,End
TC01000921.hg.1,0.000599,3.45E-08,7.6640424,8.6903537,5.23415738,chr1(+),104292279,104301312
TC01000918.hg.1,0.000599,4.58E-08,7.5473321,8.434881,6.27903269,chr1(+),104159954,104168402
TC10000845.hg.1,0.000599,5.83E-08,7.4481245,8.216087,4.0754621,chr10(+),118349935,118368687
TC01000920.hg.1,0.000599,5.97E-08,7.438429,8.1946247,6.68473123,chr1(+),104257375,104262492
TC16002087.hg.1,0.000599,8.03E-08,7.318037,7.9269411,5.20934306,chr16(-),67963473,67965778
TC03003331.hg.1,0.000599,8.62E-08,7.2893603,7.8628613,4.05865746,chr3(-),167159702,167191818
TC01002935.hg.1,0.000599,9.08E-08,7.2682239,7.8155527,4.40288427,chr1(-),104230037,104239302
TC09002315.hg.1,0.000599,9.62E-08,7.2447501,7.7629348,6.33437714,chr9(+),135945998,135946529
TC01000919.hg.1,0.000599,1.05E-07,7.2085674,7.6816705,4.37366096,chr1(+),104197912,104207173
TC08002592.hg.1,0.000599,1.09E-07,7.1941366,7.649206,0.41720288,chr8(+),11197146,11225961
TC07000814.hg.1,0.000599,1.13E-07,7.1815438,7.6208515,3.8147116,chr7(+),130020180,130027955
TC09000768.hg.1,0.000599,1.13E-07,7.1780199,7.6129128,5.40307098,chr9(+),135957926,135962742
TC09000767.hg.1,0.000599,1.36E-07,7.10663,7.4516952,6.04312195,chr9(+),135937365,135947248
TC09002316.hg.1,0.000599,1.44E-07,7.0834319,7.3991488,5.72192884,chr9(+),135957926,135962478
TC01006312.hg.1,0.000599,1.45E-07,7.0797547,7.3908123,5.84826244,chr1(+),22328149,22339035
TC01006313.hg.1,0.000599,1.48E-07,7.0712805,7.3715936,5.61446623,chr1(+),22303418,22325135
TC07001032.hg.1,0.000599,1.49E-07,7.0691643,7.3667924,0.41163889,chr7(+),153584182,154685995
TC05002747.hg.1,0.000599,1.54E-07,7.0560494,7.3370244,0.47609056,chr5(+),173128538,173135199
TC10000844.hg.1,0.000599,1.66E-07,7.0244029,7.2650924,6.32957927,chr10(+),118305428,118327367
TC0X001233.hg.1,0.000599,1.81E-07,6.9916384,7.1904689,0.90205026,chrX(-),102317579,102319168
TC01006265.hg.1,0.000599,1.96E-07,6.9590199,7.1160266,5.5452089,chr1(+),15783223,15798586
