ID,adj.P.val,P.Value,t,B,logFC,Gene.Symbol,Gene.Function,,,
TC17002893.hg.1,1,0.000958,-3.45,-0.8185,LOC220594,ubiquitin specific peptidase 6 (Tre-2 oncogene) pseudogene,,,,
TC15001287.hg.1,1,0.001345,3.34,-1.0917,MFAP1,microfibrillar-associated protein 1,,,,
TC01003246.hg.1,1,0.001724,-3.26,-1.291,FLG2,filaggrin family member 2,,,,
TC14000746.hg.1,1,0.001858,3.24,-1.3509,MIR544,microRNA 544,,,,
TC10000653.hg.1,1,0.001923,3.23,-1.3783,HECTD2,HECT domain containing 2,,,,
TC03000541.hg.1,1,0.002414,3.15,-1.5605,CCDC54,coiled-coil domain containing 54,,,,
TC04000319.hg.1,1,0.002579,-3.13,-1.6131,SRD5A3,steroid 5 alpha-reductase 3,,,,
TC17000192.hg.1,1,0.003107,-3.07,-1.7616,FAM106CP,family with sequence similarity 106, member C pseudogene,,,
TC04001251.hg.1,1,0.003171,3.06,-1.7781,GNRHR,gonadotropin-releasing hormone receptor,,,,
TC03003362.hg.1,1,0.003356,3.04,-1.8232,PHLDB2,pleckstrin homology-like domain, family B, member 2,,
TC14000225.hg.1,1,0.003472,3.03,-1.8502,BRMS1L,breast cancer metastasis-suppressor 1-like,,,,
TC01001296.hg.1,1,0.003718,-3,-1.9045,MTX1,metaxin 1,,,,
TC17002871.hg.1,1,0.004263,-2.96,-2.0133,LOC162632,ubiquitin specific peptidase 6 (Tre-2 oncogene) pseudogene,,,,
TC01003503.hg.1,1,0.004361,2.95,-2.0312,METTL18,methyltransferase like 18,,,,
TC01002791.hg.1,1,0.00466,-2.93,-2.0838,SLC44A5,solute carrier family 44, member 5,,,
TC17000358.hg.1,1,0.004816,-2.91,-2.1099,RNF135,ring finger protein 135,,,,
TC19000832.hg.1,1,0.004868,2.91,-2.1185,MIR520B,microRNA 520b,,,,
TC04002920.hg.1,1,0.005111,-2.89,-2.1569,NAAA,N-acylethanolamine acid amidase,,,,
TC12001942.hg.1,1,0.005463,-2.87,-2.2097,MIR619,microRNA 619,,,,
TC01003745.hg.1,1,0.005511,-2.87,-2.2165,NUAK2,NUAK family, SNF1-like kinase,2,,
TC17000210.hg.1,1,0.005919,-2.84,-2.273,SMCR8,Smith-Magenis syndrome chromosome region, candidate 8,,,
TC10000184.hg.1,1,0.00619,-2.82,-2.3083,LOC731789,uncharacterized LOC731789,,,,
TC09001430.hg.1,1,0.00662,2.8,-2.3613,OR13C3,olfactory receptor, family 13, subfamily C, member 3,
TC13000106.hg.1,1,0.006657,2.8,-2.3657,RXFP2,relaxin/insulin-like family peptide receptor 2,,,,
TC07001991.hg.1,1,0.007276,2.77,-2.4357,MIR548F4,microRNA 548f-4,,,,
TC22000709.hg.1,1,0.007538,-2.75,-2.4635,TXN2,thioredoxin 2,,,,
